reactions,genes,size,fva_min,fva_max,target_flux,biomass_flux,yield,fitness
"('NADH16', 'ATPS4r')","(('b2276', 'b3736'), ('b2279', 'b3734'), ('b3732', 'b2278'), ('b2285', 'b3735'), ('b3732', 'b2286'), ('b3733', 'b2285'), ('b2283', 'b3734'), ('b2278', 'b3731'), ('b2285', 'b3738'), ('b3738', 'b2280'), ('b3733', 'b2283'), ('b3738', 'b2281'), ('b2281', 'b3734'))",2,13.855184409676864,14.658446314438494,14.196174728389229,0.2026120663271811,1.4196174728389228,0.28763154091
"('NADH16', 'ATPS4r', 'G6PDH2r')","(('b1852', 'b3737', 'b2281'), ('b1852', 'b2284', 'b3737'))",3,13.778092300047536,14.841639097719282,14.09317404045212,0.2005253932329866,1.4093174040452119,0.282603371635
"('NADH16', 'ATPS4r', 'GND')","(('b2029', 'b2277', 'b3734'), ('b2029', 'b3737', 'b2278'), ('b2029', 'b2286', 'b3737'), ('b2029', 'b2285', 'b3731'), ('b2029', 'b2287', 'b3737'), ('b2029', 'b2286', 'b3732'), ('b2029', 'b3738', 'b2287'), ('b2029', 'b3733', 'b2287'), ('b2029', 'b3737', 'b2281'), ('b2029', 'b3731', 'b2287'), ('b2029', 'b2281', 'b3738'), ('b2029', 'b3731', 'b2281'))",3,13.778092300047536,14.841639097719282,14.09317404045212,0.2005253932329866,1.4093174040452119,0.282603371635
"('PGL', 'NADH16', 'ATPS4r')","(('b3738', 'b0767', 'b2281'), ('b0767', 'b2281', 'b3734'), ('b0767', 'b2287', 'b3731'), ('b2287', 'b0767', 'b3731'))",3,13.778092300047536,14.841639097719282,14.09317404045212,0.2005253932329866,1.4093174040452119,0.282603371635
"('AKGDH', 'NADH16', 'ATPS4r', 'GND')","(('b2029', 'b0727', 'b2287', 'b3731'), ('b2029', 'b0726', 'b2287', 'b3731'), ('b2029', 'b0727', 'b2284', 'b3731'))",4,14.962796594582446,15.511096594582805,15.348481408669365,0.19251964785371886,1.5348481408669365,0.295488956212
"('MDH', 'NADH16', 'ATPS4r', 'GND')","(('b2029', 'b3236', 'b2286', 'b3732'), ('b2029', 'b3236', 'b2287', 'b3731'))",4,13.32882083322068,15.511096594582698,13.69800084163705,0.19251964785372008,1.369800084163705,0.263713915252
"('PGL', 'NADH16', 'ATPS4r', 'SUCDi')","(('b0767', 'b2287', 'b3731', 'b0722'), ('b0767', 'b2287', 'b3731', 'b0723'))",4,14.96279659458295,15.51109659458259,15.348481408669421,0.19251964785372142,1.534848140866942,0.295488956212
"('PPC', 'NADH16', 'ATPS4r', 'GND')","(('b2029', 'b3956', 'b2287', 'b3731'),)",4,14.843772724832156,15.275972724832256,15.11098255033557,0.19533138996226204,1.511098255033557,0.29516434203729996
"('SUCDi', 'NADH16', 'ATPS4r', 'GND')","(('b2029', 'b2287', 'b3731', 'b0722'),)",4,14.96279659458295,15.51109659458259,15.348481408669421,0.19251964785372142,1.534848140866942,0.295488956212
"('SUCOAS', 'NADH16', 'ATPS4r', 'GND')","(('b2029', 'b0729', 'b2287', 'b3731'),)",4,14.962796594582446,15.511096594582805,15.348481408669365,0.19251964785371886,1.5348481408669365,0.295488956212
